"";"x"
"1";"ADAR"
"2";"APOL3"
"3";"CA9"
"4";"CCL2"
"5";"CCL4"
"6";"CCL5"
"7";"CCL7"
"8";"CD274"
"9";"CD38"
"10";"CD47"
"11";"CD79A"
"12";"CD86"
"13";"CD8A"
"14";"CDKN2A"
"15";"CEBPB"
"16";"CHI3L1"
"17";"CTSS"
"18";"CXCL10"
"19";"CXCL13"
"20";"CXCL9"
"21";"CXCR6"
"22";"DDX58"
"23";"DHX58"
"24";"EIF2AK2"
"25";"FGL2"
"26";"GBP1"
"27";"GNLY"
"28";"GZMA"
"29";"GZMB"
"30";"HLA-A"
"31";"HLA-B"
"32";"HLA-E"
"33";"ICAM1"
"34";"IDO1"
"35";"IFI27"
"36";"IFIT2"
"37";"IL15"
"38";"IL17RB"
"39";"IL2RA"
"40";"IL2RB"
"41";"IL2RG"
"42";"IL6R"
"43";"IRF1"
"44";"IRF2"
"45";"IRF3"
"46";"IRF4"
"47";"IRF7"
"48";"IRF9"
"49";"ISG15"
"50";"ITGB7"
"51";"JAK2"
"52";"LAG3"
"53";"LYZ"
"54";"MAP4K1"
"55";"MX1"
"56";"NFKB1"
"57";"OAS1"
"58";"OASL"
"59";"PDCD1"
"60";"PDCD1LG2"
"61";"PML"
"62";"PRDM1"
"63";"PRF1"
"64";"SLAMF7"
"65";"SOCS1"
"66";"STAT1"
"67";"STAT2"
"68";"TAP1"
"69";"TAP2"
"70";"TLR3"
"71";"TNFAIP3"
"72";"TRAF2"
"73";"TYMP"
"74";"VCAM1"
